filename,label,class,num_channels,sample_rate,bit_depth,avg_rms,length_in_seconds,length_in_frames
data\Parsed_Capuchinbird_Clips\XC114131-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.008837712,2.5,120000
data\Parsed_Capuchinbird_Clips\XC114131-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.007954473,3.0,144000
data\Parsed_Capuchinbird_Clips\XC114131-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.007163723,3.5,168000
data\Parsed_Capuchinbird_Clips\XC114131-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.0072781327,3.0,144000
data\Parsed_Capuchinbird_Clips\XC114131-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.006438754,3.5,168000
data\Parsed_Capuchinbird_Clips\XC114132-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.006577389,4.0,192000
data\Parsed_Capuchinbird_Clips\XC114132-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.0066120694,4.0,192000
data\Parsed_Capuchinbird_Clips\XC114132-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.005762694,4.0,192000
data\Parsed_Capuchinbird_Clips\XC114132-3.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.00747744,3.5,168000
data\Parsed_Capuchinbird_Clips\XC114132-4.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.007865959,3.5,168000
data\Parsed_Capuchinbird_Clips\XC114132-5.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.0063970806,3.0,144000
data\Parsed_Capuchinbird_Clips\XC114132-6.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.006840044,3.5,168000
data\Parsed_Capuchinbird_Clips\XC119294-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.03647925,4.0,176400
data\Parsed_Capuchinbird_Clips\XC16803-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.13639893,3.5,154350
data\Parsed_Capuchinbird_Clips\XC16803-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.08090492,2.5,110250
data\Parsed_Capuchinbird_Clips\XC16803-2.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.07912452,4.0,176400
data\Parsed_Capuchinbird_Clips\XC16804-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.100718796,4.0,176400
data\Parsed_Capuchinbird_Clips\XC16804-1.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],1,44100,16,0.073801205,4.0,176400
data\Parsed_Capuchinbird_Clips\XC168899-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,44100,16,0.015510216,4.0,176400
data\Parsed_Capuchinbird_Clips\XC178167-0.wav,Parsed_Capuchinbird_Clips,[0. 1. 0. 0.],2,48000,16,0.02980067,3.5,168000
